id,cancion,artista,genero,subestilo,pais,origen,yt_channel_subscribers_log,channel_age_years,is_vevo,is_licensed_content,lastfm_artist_listeners,lastfm_artist_playcount,lastfm_plays_per_listener,lastfm_top_tag_score,lastfm_top10_listeners_mean,lastfm_similar_match_mean,territorio_top_1,territorio_top_2,n_territorios_top,career_stage,label_type,has_featuring,n_collaborators,release_month,duracion_total_s,tempo_bpm,energia_rms_mean,energia_rms_std,brillo_centroide_mean,brillo_centroide_std,ancho_banda_hz,caida_espectral_rolloff,tasa_cruces_cero,bailabilidad_essentia,complejidad_dinamica_essentia,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,nivel,nivel_predicho,prob_bajo,prob_medio,prob_alto
11,Tú Me Quemas,Chayanne,Balada,Balada pop,PR,real,5.556,17.0,True,True,52128,653444,12.54,75,26618,0.4594,ES,AR,2,Consagrado,Major,False,0,5,225.26,117.5,0.2294999957084656,0.0878000035881996,2137.36,614.84,2496.65,4777.29,0.0822,1.0589,-13.6004,-63.26919937133789,96.81900024414062,9.760600090026855,26.75160026550293,2.767999887466431,Medio,Medio,0.3126161805956032,0.6082789502423558,0.07910486916204103
12,Que Canten las Niñas,Jesse & Joy,Balada,Balada pop,MX,real,7.17,17.1,False,True,1812905,38659261,21.32,54,683047,0.8292,MX,ES,5,Consagrado,Major,False,0,2,246.97,71.8,0.1190000027418137,0.0406999997794628,1760.11,635.79,2246.03,3871.93,0.0604,1.0739,-19.2939,-161.4140930175781,109.1904983520508,6.288300037384033,28.19919967651367,4.451000213623047,Medio,Medio,0.019986799506181673,0.5695274668990921,0.41048573359472634
13,Cancion_Sint_0150,Artista_Bld_0058,Balada,Balada pop,CO,sintetico,5.455,5.3,False,False,41049,445068,10.84,42,14025,0.6186,MX,,1,Emergente,Major,False,0,7,170.12,101.4,0.1815,0.0865,1941.31,664.73,2263.13,4173.37,0.0745,0.7401,-15.4058,-110.0,105.0,-2.3567,39.6292,6.5249,Bajo,Bajo,0.9632910494750488,0.029697136961830083,0.007011813563121128
14,Hoy Ya Me Voy,Kany García,Balada,Balada pop,PR,real,6.104,17.7,True,True,140460,1724273,12.28,77,70631,0.5073,MX,ES,4,Consagrado,Major,False,0,10,234.87,71.8,0.1377000063657761,0.0586999990046024,1778.58,727.83,2185.98,3660.26,0.072,1.074,-17.1411,-140.0229034423828,116.9362030029297,4.771500110626221,17.95499992370605,2.882999897003174,Alto,Alto,0.024118883085588426,0.17554986711388518,0.8003312498005263
15,Cancion_Sint_0096,Artista_Bld_0007,Balada,Balada rock,ES,sintetico,6.509,10.7,True,True,611687,9280332,15.17,60,136098,0.4386,AR,,1,Establecido,Indie,False,0,5,253.69,95.0,0.2137,0.0886,2639.82,899.89,2844.71,6042.72,0.1045,1.2194,-14.9416,-110.0,74.8292,9.0592,11.6922,8.4825,Bajo,Bajo,0.9116082876390927,0.06816907242420568,0.02022263993670149
16,Amor Genuino,Sebastián Yatra,Balada,Balada pop,CO,real,6.778,17.3,False,False,859634,14955744,17.4,79,229897,0.8208,US,CL,4,Consagrado,Major,False,0,5,276.15,117.5,0.1766999959945679,0.0947000011801719,2340.97,961.64,2469.22,5054.08,0.1003,1.0777,-15.735,-88.88020324707031,92.35749816894533,-0.539900004863739,12.67059993743896,2.122100114822388,Medio,Medio,0.016397116331164543,0.5567237651383884,0.426879118530447
17,Labios Compartidos,Maná,Balada,Balada rock,MX,real,6.342,16.8,False,False,625343,4860960,7.77,77,176803,0.4252,MX,AR,6,Consagrado,Major,False,0,3,285.54,80.75,0.0772999972105026,0.0285000000149011,3034.9,678.23,3019.09,6916.9,0.1276,1.0818,-22.8357,-137.9815063476562,67.04060363769531,14.96230030059814,18.95219993591309,13.05090045928955,Alto,Alto,0.023017260164931684,0.10318425011257569,0.8737984897224925
18,Perfecta,Pablo Alborán,Balada,Balada pop,ES,real,6.616,16.7,False,False,565278,9385990,16.6,58,241959,0.7403,MX,CL,3,Consagrado,Major,False,0,9,257.76,136.0,0.0478000007569789,0.0221999995410442,1986.19,926.17,2425.03,4525.08,0.0682,1.0385,-26.6365,-265.947998046875,97.33740234375,21.98990058898926,29.22669982910156,12.74470043182373,Alto,Alto,0.045277363368936924,0.21685553261343846,0.7378671040176246
19,Cicatrices,Morat,Balada,Balada pop,CO,real,6.813,11.5,True,True,267956,5414735,20.21,79,156520,0.7043,ES,AR,3,Consagrado,Major,True,1,7,190.68,103.4,0.1824000030755997,0.1225999966263771,2154.2,1057.82,2236.29,4537.67,0.0943,0.8041,-14.6156,-107.8432006835938,95.37310028076172,-5.785299777984619,9.303000450134276,6.592599868774414,Medio,Medio,0.03262166545751167,0.7673536635166671,0.20002467102582125
20,Cancion_Sint_0106,Artista_Bld_0026,Balada,Balada pop,MX,sintetico,6.238,5.6,False,False,426805,2435585,5.71,41,246513,0.5963,MX,,1,Establecido,Indie,False,0,2,334.96,98.8,0.1981,0.1001,2296.58,776.45,2580.86,5054.74,0.0983,0.9541,-12.9558,-110.0,101.2515,-0.2498,5.0,-1.5787,Bajo,Bajo,0.9143990868918198,0.07350758363359813,0.012093329474581999
21,La Camisa Negra,Juanes,Balada,Balada rock,CO,real,6.403,19.3,True,False,436350,5791768,13.27,65,110809,0.6194,MX,ES,3,Consagrado,Major,False,0,10,247.25,95.7,0.2409999966621399,0.1137000024318695,2335.12,748.14,2572.83,5257.45,0.0898,1.157,-12.9264,-62.23500061035156,84.88410186767578,7.082399845123291,25.28389930725098,8.882100105285645,Alto,Alto,0.04555183496675933,0.15561096902242924,0.7988371960108115
22,Hay Algo en Mí,Rozalén,Balada,Balada folk,ES,real,5.892,10.7,True,True,40062,679359,16.96,79,14928,0.3745,ES,CO,3,Establecido,Major,False,0,7,190.4,92.3,0.2415000051259995,0.0680999979376792,2298.35,806.64,2532.45,4904.85,0.0826,1.2538,-13.1875,-70.93409729003906,83.88999938964844,3.484899997711182,26.07659912109375,10.38070011138916,Medio,Medio,0.1724622658620727,0.7223377086679311,0.10520002546999609
23,Cancion_Sint_0146,Artista_Bld_0036,Balada,Balada pop,CO,sintetico,4.857,8.0,False,False,23558,229957,9.76,57,10739,0.4532,CO,US,2,Emergente,Major,True,1,1,230.88,71.7,0.1755,0.0902,1978.48,1084.29,2453.24,4589.32,0.0623,1.0208,-16.3788,-182.1831,102.5518,33.5584,5.0,10.1554,Bajo,Bajo,0.7599528870469179,0.2054615799426891,0.03458553301039306
24,Cancion_Sint_0030,Prince Royce,Balada,Balada/bachata,US,sintetico,7.272,15.3,True,True,1015344,11572032,11.4,87,417120,0.632,US,,1,Consagrado,Major,False,0,9,177.07,90.4,0.2289,0.0995,2206.16,986.09,2417.09,4800.39,0.0918,1.0317,-13.6603,-110.0,88.0117,18.6016,28.7798,1.2267,Medio,Bajo,0.4797570192520568,0.4663298659280881,0.053913114819854904
25,Por el Bien del Amor,Kany García,Balada,Balada pop,PR,real,6.104,17.7,True,True,140460,1724273,12.28,77,70631,0.5073,US,PE,2,Consagrado,Major,False,0,10,231.25,71.8,0.148499995470047,0.060199998319149,1694.13,853.82,2184.5,3550.36,0.063,1.0934,-16.7494,-143.6799926757812,120.0835037231445,17.42510032653809,28.95100021362305,8.041600227355957,Medio,Medio,0.2081962551047469,0.6970238774240112,0.09477986747124187
26,Loco,Enrique Iglesias,Balada,Balada pop,ES,real,6.632,14.3,True,False,252535,3573946,14.15,48,76686,0.5444,MX,CO,3,Consagrado,Major,False,0,8,248.64,136.0,0.0511999987065792,0.0313999988138675,1926.77,1036.95,2140.86,4184.93,0.0844,1.1068,-25.3705,-256.3016967773438,89.17379760742188,5.700099945068359,28.16209983825684,2.880199909210205,Alto,Alto,0.05213285822833743,0.31228226002101406,0.6355848817506484
27,Cancion_Sint_0092,Artista_Bld_0004,Balada,Balada folk,US,sintetico,7.107,15.2,True,True,3601979,55464462,15.4,100,1848009,0.5866,US,ES,2,Consagrado,Indie,False,0,3,196.06,74.9,0.1235,0.0718,2158.51,1035.0,2438.28,4651.71,0.089,0.816,-18.488,-197.3371,86.4379,23.1501,25.8106,9.3183,Bajo,Bajo,0.6700265200607499,0.26303881999730927,0.06693465994194092
28,Cancion_Sint_0154,Artista_Bld_0036,Balada,Balada pop,CO,sintetico,4.857,8.0,False,False,23558,229957,9.76,57,10739,0.4532,CO,AR,2,Emergente,Major,False,0,10,260.74,93.7,0.1195,0.0541,2543.78,702.5,2809.44,5814.76,0.0981,1.2452,-19.5951,-110.0,84.5011,-0.6924,18.502,1.6517,Bajo,Bajo,0.8719970566641596,0.11158213198070363,0.016420811355136736
29,Una Más,Paty Cantú,Balada,Balada pop,MX,real,5.348,19.4,False,True,13635,197031,14.45,54,6877,0.3204,MX,CL,2,Consagrado,Major,True,1,6,174.94,80.75,0.2768000066280365,0.1334999948740005,2203.84,904.26,2291.16,4484.45,0.095,0.9856,-11.9092,-61.47100067138672,87.7405014038086,-2.61870002746582,31.41069984436035,4.314000129699707,Medio,Medio,0.31311531694701683,0.6253203812279933,0.06156430182498985
30,Cancion_Sint_0153,Artista_Bld_0049,Balada,Balada rock,GT,sintetico,5.42,8.0,False,True,25629,347781,13.57,44,7742,0.3598,MX,,1,Emergente,Regional,True,1,2,281.12,67.4,0.1487,0.0677,2271.35,969.91,2385.32,4827.11,0.1004,1.1848,-17.5016,-124.6587,93.2026,0.4678,8.1013,6.7962,Bajo,Bajo,0.9591870080363852,0.034923288754618725,0.005889703208995996
31,Me Duele Amarte,Reik,Balada,Balada pop,MX,real,6.338,18.5,True,True,266722,2589309,9.71,69,69087,0.7752,MX,CO,4,Consagrado,Major,False,0,10,194.21,76.0,0.1570000052452087,0.0546000003814697,1698.46,759.13,2310.29,3789.84,0.0553,1.1993,-16.8758,-146.7823944091797,113.3972015380859,20.75950050354004,27.50029945373535,17.47270011901855,Alto,Alto,0.02278070056267882,0.21765295606059848,0.7595663433767227
32,Cancion_Sint_0132,Artista_Bld_0041,Balada,Balada pop,AR,sintetico,5.21,4.6,True,True,42686,247110,5.79,24,14135,0.5077,US,,1,Emergente,Major,False,0,1,252.48,79.4,0.1534,0.0881,3100.0,951.38,3057.31,7272.46,0.1376,0.8936,-16.5935,-110.0,60.0,-2.6296,9.7394,2.5211,Bajo,Bajo,0.9653446970166005,0.027651492630412212,0.007003810352987365
33,Miénteme,La Quinta Estación,Balada,Balada pop,ES,real,6.453,18.6,True,True,344185,3760965,10.93,56,209485,0.4284,ES,US,4,Consagrado,Major,False,0,10,241.19,95.7,0.0785999968647956,0.0432000011205673,2452.77,873.12,2515.37,5212.07,0.1194,0.8722,-22.0137,-153.9199981689453,87.85639953613281,-2.1875,20.31929969787598,9.57900047302246,Alto,Alto,0.018153121598827836,0.12596572513021254,0.8558811532709596
34,Si Me la Quitas,Kany García,Balada,Balada pop,PR,real,6.104,17.7,True,True,140460,1724273,12.28,77,70631,0.5073,MX,PR,2,Consagrado,Major,False,0,5,208.26,76.0,0.215599998831749,0.0966999977827072,1460.14,846.28,2096.51,3035.95,0.047,0.9601,-14.0541,-162.6564025878906,115.8603973388672,26.52370071411133,26.63640022277832,13.04650020599365,Medio,Medio,0.22540400152360646,0.6432504806946063,0.13134551778178732
35,Cancion_Sint_0109,Artista_Bld_0016,Balada,Balada pop,MX,sintetico,5.617,9.0,True,True,58927,867391,14.72,59,21472,0.5771,MX,GT,3,Emergente,Regional,False,0,1,172.99,80.5,0.303,0.0918,2003.84,468.78,2401.05,4498.89,0.0695,0.882,-10.0,-110.0,100.4278,3.4562,44.4306,11.2265,Bajo,Bajo,0.5483381924313877,0.32332232439513525,0.12833948317347701
36,Cancion_Sint_0119,Artista_Bld_0013,Balada,Balada pop,MX,sintetico,6.262,5.8,True,True,76064,359113,4.72,44,17995,0.4474,MX,US,2,Emergente,Indie,False,0,12,258.03,81.4,0.0817,0.0436,2490.33,864.28,2527.08,5297.99,0.1142,1.0515,-22.4536,-158.7742,81.866,-3.3289,28.2201,6.8278,Bajo,Bajo,0.8445783523286905,0.12594082296110215,0.029480824710207385
37,Cancion_Sint_0013,Artista_Bld_0001,Balada,Balada romántica,MX,sintetico,7.061,17.2,True,True,1643246,40807853,24.83,27,1065429,0.5859,PE,MX,3,Consagrado,Major,False,0,10,280.67,118.6,0.04,0.0288,2690.65,859.76,2452.17,5511.7,0.1393,0.8189,-26.823,-200.796,75.9631,-15.0,27.6966,-3.4645,Alto,Alto,0.06809574089961917,0.21494339646694627,0.7169608626334346
38,Cancion_Sint_0084,Rozalén,Balada,Balada folk,ES,sintetico,5.892,10.7,True,True,40062,679359,16.96,79,14928,0.3745,US,,1,Establecido,Major,False,0,8,285.72,108.4,0.2742,0.12,2684.27,1113.63,2923.02,6186.46,0.0981,1.1236,-10.583,-110.0,71.3305,24.9107,11.7442,-0.8895,Bajo,Bajo,0.8283162967304843,0.1556804509741328,0.016003252295382932
39,Amárrame,Mon Laferte,Balada,Balada rock,CL,real,6.813,13.8,True,True,748873,9273229,12.38,58,488644,0.6272,MX,PE,5,Consagrado,Major,False,0,2,205.22,89.1,0.1366000026464462,0.0551000013947486,1884.87,797.82,2191.8,4025.36,0.0753,1.01,-17.9062,-151.5856018066406,102.943603515625,4.578999996185303,24.15139961242676,2.295000076293945,Alto,Alto,0.017440287883913004,0.20635556379587686,0.7762041483202101
40,Tú No Eres Abel,Rozalén,Balada,Balada folk,ES,real,5.892,10.7,True,True,40062,679359,16.96,79,14928,0.3745,ES,US,4,Establecido,Major,False,0,10,178.26,136.0,0.2249000072479248,0.1136000007390976,2557.71,957.55,2577.06,5416.0,0.1101,1.1567,-13.5228,-70.51599884033203,72.15049743652344,4.909999847412109,25.81520080566406,3.25,Medio,Medio,0.034012127451908895,0.8914175965221809,0.0745702760259103
41,Dímelo,Sebastián Yatra,Balada,Balada pop,CO,real,6.778,17.3,True,True,859634,14955744,17.4,79,229897,0.8208,CO,MX,5,Consagrado,Major,False,0,2,247.29,92.3,0.2944000065326691,0.1316000074148178,2397.07,887.47,2550.57,5191.35,0.0931,1.2254,-11.642,-49.51789855957031,80.53019714355469,-1.979200005531311,13.58110046386719,7.901700019836426,Alto,Alto,0.009860573936839798,0.09353185255348652,0.8966075735096737
42,Nada Es Para Siempre,Carlos Rivera,Balada,Balada pop,MX,real,6.716,13.1,True,True,1391629,25612291,18.4,54,744488,0.5988,MX,CO,3,Consagrado,Major,False,0,6,255.3,80.7,0.2150000035762787,0.1243999972939491,1710.58,944.82,2075.39,3705.11,0.0645,0.8618,-13.9157,-125.5876998901367,104.6335983276367,11.5137996673584,27.48940086364746,5.888000011444092,Medio,Medio,0.032527746160297875,0.7932302963441795,0.1742419574955227
43,Cancion_Sint_0003,Sebastián Yatra,Balada,Balada pop,CO,sintetico,6.778,17.3,True,True,859634,14955744,17.4,79,229897,0.8208,MX,CO,3,Consagrado,Major,False,0,10,233.76,81.0,0.2181,0.0905,2101.76,740.4,2246.05,4251.35,0.1026,1.0944,-12.7814,-110.0,105.0,-5.7494,23.5415,0.893,Alto,Alto,0.04027809302498237,0.364303133625551,0.5954187733494666
44,Cancion_Sint_0012,Artista_Bld_0005,Balada,Balada pop,MX,sintetico,7.064,12.9,True,True,311506,1818468,5.84,50,111795,0.7506,VE,US,3,Consagrado,Major,False,0,3,209.11,96.6,0.2036,0.0918,3098.76,864.1,3049.43,7017.95,0.1309,1.0324,-14.1755,-110.0,60.0,-4.7139,19.0748,13.4415,Alto,Alto,0.06325452278980788,0.1585447632939677,0.7782007139162245
45,Nunca Es Suficiente,Natalia Lafourcade,Balada,Balada folk,MX,real,6.756,16.3,True,True,1431996,44873209,31.34,29,935199,0.6658,US,MX,4,Consagrado,Major,False,0,4,286.46,95.7,0.1701000034809113,0.0751999989151954,2312.83,787.46,2600.18,5172.87,0.0851,1.2296,-15.7242,-99.75800323486328,92.21949768066406,3.644200086593628,13.42500019073486,6.027699947357178,Alto,Alto,0.03387866623678575,0.29413609670362895,0.6719852370595852
46,Puedo,Carlos Rivera,Balada,Balada pop,MX,real,6.716,13.1,True,True,1391629,25612291,18.4,54,744488,0.5988,MX,ES,7,Consagrado,Major,False,0,4,209.93,71.8,0.2044000029563904,0.1031000018119812,1929.99,711.93,2291.07,4173.09,0.0769,0.9314,-13.6698,-95.76940155029295,102.3619003295898,4.029200077056885,25.66379928588867,5.051499843597412,Alto,Alto,0.010268940208192502,0.08710710404956121,0.9026239557422462
47,Cancion_Sint_0105,Artista_Bld_0016,Balada,Balada pop,MX,sintetico,5.617,9.0,True,True,58927,867391,14.72,59,21472,0.5771,MX,,1,Emergente,Regional,False,0,12,207.5,80.3,0.209,0.0929,2743.05,866.92,2822.98,6313.66,0.1133,0.9199,-14.1489,-110.0,87.2544,-0.5692,5.0,-4.6735,Bajo,Bajo,0.9165771687866374,0.07654921400857531,0.006873617204787318
48,Bello Embustero,Juanes,Balada,Balada pop,CO,real,6.403,19.3,False,False,436350,5791768,13.27,65,110809,0.6194,EC,CO,3,Consagrado,Major,False,0,1,228.41,112.3,0.2282000035047531,0.0860000029206276,2541.76,775.8,2798.61,5717.92,0.099,0.9597,-13.5252,-66.92849731445312,78.61039733886719,14.36919975280762,21.50839996337891,7.148600101470947,Medio,Alto,0.059403266057432194,0.4323464016197721,0.5082503323227957
49,Cuervo,Paty Cantú,Balada,Balada pop,MX,real,5.348,19.4,True,True,13635,197031,14.45,54,6877,0.3204,MX,,1,Consagrado,Major,False,0,5,334.79,80.75,0.1465000063180923,0.094200000166893,1849.9,795.94,2205.56,3992.22,0.0697,0.9589,-17.5943,-159.4953002929688,93.52890014648438,-1.830999970436096,24.2996997833252,6.028200149536133,Bajo,Bajo,0.8153013406846416,0.16051325470832592,0.024185404607032446
50,Cancion_Sint_0143,Artista_Bld_0044,Balada,Balada folk,MX,sintetico,4.881,7.0,False,True,8183,55204,6.75,95,4580,0.4069,MX,,1,Emergente,Indie,False,0,7,256.63,115.7,0.1476,0.0841,2011.3,735.93,2181.28,4144.49,0.0947,1.3118,-16.8767,-111.5007,105.0,-2.0864,18.4104,-4.126,Bajo,Bajo,0.9652590027353266,0.029637326799243822,0.00510367046542941
51,Todo Lo Que Tengo,Carlos Rivera,Balada,Balada pop,MX,real,6.716,13.1,True,True,1391629,25612291,18.4,54,744488,0.5988,MX,ES,3,Consagrado,Major,False,0,7,231.94,83.4,0.1519999951124191,0.090499997138977,1802.27,961.52,2166.22,3833.19,0.0703,1.1024,-16.7695,-169.0063018798828,102.2774963378906,16.39130020141602,30.95369911193848,7.460800170898438,Medio,Medio,0.051628535066196565,0.6807446016588534,0.26762686327495
52,Cancion_Sint_0060,Artista_Bld_0026,Balada,Balada pop,MX,sintetico,6.238,5.6,False,False,426805,2435585,5.71,41,246513,0.5963,MX,US,4,Establecido,Indie,False,0,3,181.24,80.9,0.1158,0.0259,2112.64,946.75,2451.56,4569.07,0.0785,1.5603,-21.4745,-191.7823,86.184,22.0586,16.3312,14.3345,Medio,Medio,0.08187126173867978,0.6788350142566127,0.2392937240047075
53,Cancion_Sint_0051,Artista_Bld_0006,Balada,Balada pop,ES,sintetico,7.037,10.8,True,True,1079040,17758380,16.46,67,282279,0.8191,MX,ES,3,Establecido,Indie,False,0,1,246.51,102.6,0.188,0.0771,1735.78,876.45,2096.15,3601.47,0.0663,0.9168,-15.4128,-133.8636,92.9909,4.783,40.5818,11.7913,Medio,Medio,0.11165801849522054,0.7491740896065712,0.13916789189820838
54,No Me Doy Por Vencido,Luis Fonsi,Balada,Balada pop,PR,real,5.959,17.5,True,False,82717,1027047,12.42,52,34997,0.6351,AR,MX,5,Consagrado,Indie,True,1,12,233.59,86.15,0.2768999934196472,0.1115999966859818,2195.82,791.03,2312.51,4553.11,0.1033,1.0542,-11.1683,-39.40869903564453,93.47429656982422,-3.12689995765686,26.26210021972656,1.463099956512451,Alto,Alto,0.01805561995357782,0.07628146623503682,0.9056629138113853
55,Telefonía,Jorge Drexler,Balada,Balada pop,UY,real,4.657,11.5,False,True,1052,8970,8.53,67,702,0.6745,MX,ES,4,Emergente,Regional,False,0,7,185.27,123.0,0.2049999982118607,0.0819000005722045,1339.99,827.23,1924.08,2643.16,0.0498,1.3085,-14.5276,-140.1887054443359,132.4010009765625,19.51269912719727,28.2091007232666,17.3843994140625,Medio,Medio,0.07896425306573464,0.8457568957489918,0.07527885118527358
56,Cancion_Sint_0079,Coti,Balada,Balada pop,AR,sintetico,6.572,16.6,True,True,3206790,34402981,10.73,82,903182,0.5586,AR,,1,Consagrado,Major,False,0,3,290.01,136.0,0.1972,0.0846,2150.29,817.57,2211.04,4371.99,0.1106,0.9905,-14.5397,-114.0165,104.8175,-3.8618,16.3421,1.01,Bajo,Bajo,0.8337482718081952,0.13164606214335683,0.03460566604844793
57,Fuiste Tú,Ricardo Arjona,Balada,Balada pop,GT,real,6.238,20.0,False,True,442971,3660529,8.26,54,250403,0.7105,MX,PR,6,Consagrado,Major,False,0,2,295.01,71.8,0.0854000002145767,0.0390000008046627,1959.16,890.97,2184.98,4022.11,0.0885,1.0636,-21.3084,-182.1136932373047,105.3961029052734,0.2049999982118607,31.31450080871582,7.489799976348877,Alto,Alto,0.014564683400520162,0.08498067166994377,0.9004546449295362
58,Enamorado Tuyo,Luciano Pereyra,Balada,Balada romántica,AR,real,6.117,10.9,True,True,199548,3298384,16.53,44,100639,0.5489,CO,MX,4,Establecido,Indie,False,0,9,224.44,92.3,0.1970999985933304,0.0772999972105026,2645.47,808.64,2676.04,5723.09,0.1135,1.1259,-14.9542,-87.27279663085938,71.03479766845703,14.41479969024658,23.36770057678223,-3.725899934768677,Alto,Alto,0.07253604533698245,0.3866147208818113,0.5408492337812062
59,Ya No,Pablo Alborán,Balada,Balada pop,ES,real,6.616,16.7,False,True,565278,9385990,16.6,58,241959,0.7403,MX,ES,6,Consagrado,Major,False,0,5,247.22,71.8,0.1384000033140182,0.0759000033140182,2149.54,870.51,2380.09,4686.32,0.0813,0.957,-17.6008,-136.7154998779297,90.0634994506836,5.219799995422363,29.64080047607422,4.522500038146973,Alto,Alto,0.016310616986742448,0.11877985451249738,0.8649095285007602
60,Cancion_Sint_0010,Artista_Bld_0006,Balada,Balada pop,ES,sintetico,7.037,10.8,True,True,1079040,17758380,16.46,67,282279,0.8191,PE,ES,7,Establecido,Indie,False,0,5,156.06,93.9,0.1799,0.0708,2234.53,910.23,2542.29,4922.77,0.0839,1.388,-17.5953,-127.946,84.3733,21.9426,40.067,18.0349,Alto,Alto,0.06478125335955819,0.2955284974493196,0.6396902491911223
